Effect	Neural -	Ubiq-High -	Ubiq-Low -	Ubiq-Med -	Neural +	Ubiq-High +	Ubiq-Low +	Ubiq-Med +
3'	0.011092053761042076	0.00022114562219540486	0.027908625914196534	0.002023270534953314	0.02750006026938694	0.0030750329215637126	0.03842185377016356	0.018972411660685314
5'	0.003823983319217521	3.141517510033221e-05	0.007230005399599611	0.0003042514726752734	0.007619676883072595	0.00042936421893281524	0.008095354757618687	0.002431760723314908
Intron	0.0018425895572527012	4.974855842984445e-05	0.002487203132293063	0.0004189687193858679	0.0021191521214412794	0.0002873917149074188	0.0012714818916369304	0.0013703602955005595
Rec	0.010704085545157923	9.60046001785384e-05	0.025610996167681564	0.000285948903091967	0.01388370530715832	0.0002837738133525038	0.024172252691448303	0.0016813707894885988
SJ	0.0023879408984627632	0.0001994316198833325	0.005899266309736268	0.00039878370968545937	0.007578149668455952	0.0006359300476947536	0.011324315822585718	0.005379746835443038
Syn	0.010716857633397567	3.1853671312583615e-05	0.03458789975921619	0.0005223797877935291	0.014368343738523687	4.6572280178837556e-05	0.03743387429391195	0.001627452803868688
