Effect	count	mean	std	min	25%	50%	75%	max
3'	17525.0	0.21266618046297733	0.21988438838222274	0.010005065856129687	0.05172413793103448	0.12692307692307692	0.29850746268656714	1.0
5'	1047.0	0.2435448228418069	0.2344837580036565	0.01016260162601626	0.06349384098544233	0.15350877192982454	0.3556371766208879	1.0
Intron	9874.0	0.2441100080922441	0.23140580670938346	0.010033444816053512	0.07142857142857142	0.16071428571428573	0.3467741935483871	1.0
Rec	5535.0	0.40618846098751965	0.2686894154239002	0.010026995757809487	0.15652586616041766	0.3958333333333333	0.625	1.0
SJ	84.0	0.24389248214077694	0.27116872020175176	0.010101010101010102	0.05115979381443299	0.10534905643754515	0.3679768507354715	1.0
Syn	1792.0	0.25830129829631093	0.22759090691119785	0.010015408320493066	0.06303879310344829	0.18800999246363295	0.4056669572798605	1.0
