EditFreq	WN_ef	WN_log	WNN_ef	WNN_log	Cum_WN_ef	Cum_WNN_ef
0	15574	4.19240017036013	34297	4.5352561334414165	0.28535830111585464	0.6284149000494714
1	6821	3.833848049531148	3917	3.592953571547866	0.4103376880370852	0.7001850596405079
2	4278	3.631240780235509	2306	3.36285930295868	0.4887223555710281	0.7424372904336992
3	3200	3.505149978319906	1634	3.2132520521963968	0.5473551129596717	0.7723766421752754
4	2447	3.388633969351789	1286	3.109240968588203	0.5921908496253	0.7959396815508364
5	1955	3.2911467617318855	1035	3.0149403497929366	0.6280117998424245	0.8149037140187259
6	1636	3.2137832993353044	824	2.9159272116971158	0.6579877970573685	0.8300016490463016
7	1398	3.1455071714096627	704	2.847572659142112	0.6836029829415321	0.8429008556718032
8	1185	3.0737183503461227	613	2.787460474518415	0.7053154259120142	0.8541326932590652
9	1036	3.0153597554092144	515	2.711807229041191	0.7242977811165876	0.8635689026513
10	1005	3.002166061756508	498	2.6972293427597176	0.7427121314839584	0.8726936255199077
11	860	2.934498451243568	434	2.637489729512511	0.7584696850321564	0.8806456932407425
12	755	2.8779469516291885	395	2.59659709562646	0.7723033512285395	0.8878831742309031
13	648	2.8115750058705933	306	2.48572142648158	0.7841764845997398	0.8934899316561922
14	682	2.833784374656479	302	2.4800069429571505	0.7966725910181944	0.8990233981347454
15	565	2.7520484478194387	302	2.4800069429571505	0.8070249372446269	0.9045568646132987
16	536	2.72916478969277	296	2.4712917110589387	0.8168459241072247	0.9099803946717482
17	455	2.6580113966571126	223	2.3483048630481607	0.8251827692984224	0.9140663649522692
18	463	2.6655809910179533	197	2.294466226161593	0.8336661963830918	0.9176759440790077
19	399	2.6009728956867484	190	2.278753600952829	0.8409769683199882	0.9211572640489584
20	459	2.661812685537261	229	2.359835482339888	0.8493871044579219	0.9253531707495831
21	364	2.561101383649056	158	2.1986570869544226	0.8560565806108801	0.9282481631456474
22	341	2.5327543789924976	149	2.173186268412274	0.8623046338201074	0.9309782509115562
23	333	2.5224442335063197	144	2.1583624920952498	0.8684061051358631	0.9336167249940451
24	269	2.429752280002408	124	2.093421685162235	0.8733349213038459	0.9358887443428551
25	358	2.5538830266438746	167	2.2227164711475833	0.8798944610367004	0.9389486413690749
26	245	2.3891660843645326	126	2.100370545117563	0.8843835315242685	0.9412573061912527
27	262	2.4183012913197452	127	2.103803720955957	0.8891840885354636	0.9435842937501145
28	245	2.3891660843645326	97	1.9867717342662448	0.8936731590230317	0.9453615992084577
29	207	2.315970345456918	100	2.0	0.8974659655166095	0.9471938728768529
30	222	2.346352974450639	116	2.0644579892269186	0.9015336130604467	0.9493193103321912
31	187	2.271841606536499	96	1.9822712330395684	0.9049599648203456	0.9510782930538505
32	171	2.2329961103921536	91	1.9590413923210936	0.9080931527933012	0.9527456620920901
33	259	2.413299764081252	128	2.1072099696478683	0.9128387415944446	0.9550909723876359
34	152	2.1818435879447726	69	1.8388490907372552	0.9156237975704051	0.9563552412188284
35	198	2.296665190261531	78	1.8920946026904804	0.9192516994338275	0.9577844146801766
36	172	2.2355284469075487	80	1.9030899869919435	0.922403210143467	0.9592502336148927
37	152	2.1818435879447726	75	1.8750612633917	0.9251882661194276	0.9606244388661891
38	145	2.161368002234975	78	1.8920946026904804	0.9278450629386005	0.9620536123275373
39	108	2.03342375548695	54	1.7323937598229686	0.9298239185004672	0.9630430401084706
40	193	2.285557309007774	63	1.7993405494535817	0.9333602066804698	0.9641973725195595
41	109	2.037426497940624	62	1.792391689498254	0.9353573849790204	0.9653333821939645
42	159	2.2013971243204513	53	1.724275869600789	0.9382707001117687	0.9663044872382139
43	117	2.0681858617461617	48	1.6812412373755872	0.9404144603037909	0.9671839785990436
44	128	2.1072099696478683	53	1.724275869600789	0.9427597705993367	0.968155083643293
45	138	2.1398790864012365	47	1.6720978579357175	0.9452883082617219	0.9690162522674387
46	112	2.0492180226701815	55	1.7403626894942439	0.9473404547703245	0.970024002785056
47	105	2.0211892990699383	59	1.7708520116421442	0.9492643421221394	0.9711050442494091
48	78	1.8920946026904804	44	1.6434526764861874	0.9506935155834876	0.971911244663503
49	51	1.7075701760979363	34	1.5314789170422551	0.951627975154369	0.9725342177107573
50	204	2.3096301674258988	100	2.0	0.9553658134378951	0.9743664913791524
51	97	1.9867717342662448	41	1.6127838567197355	0.9571431188962384	0.9751177235831944
52	90	1.954242509439325	32	1.505149978319906	0.958792165197794	0.9757040511570808
53	94	1.9731278535996986	34	1.5314789170422551	0.9605145024460854	0.9763270242043351
54	79	1.8976270912904414	45	1.6532125137753437	0.9619619986441175	0.977151547355113
