Effect	count	mean	std	min	25%	50%	75%	max
Rec	7026.0	0.18676002095386215	0.2212246089570253	0.0	0.004096786784518143	0.10589765155717804	0.3041065802229762	0.949238578680203
Syn	2442.0	0.1513128010474535	0.18262816246334104	0.0	0.002714625980768096	0.0815967075749491	0.2446450428396573	0.8459302325581395
