PFAM	variable	count	mean	std	min	25%	50%	75%	max
In PFAM	WNN_ef	1298.0	0.01567075521124285	0.0371033474129414	0.0	0.0014223955505118999	0.003966515469107773	0.012401907702399004	0.3900442477876106
In PFAM	WN_ef	1298.0	0.3590200744089261	0.1971573677921897	0.050322580645161284	0.2041063749914682	0.2995755490508892	0.4925755394046464	0.9375757575757576
Not In PFAM	WNN_ef	2215.0	0.01636690535629672	0.03749284839361446	0.0	0.0014045006157019026	0.004140786749482402	0.01311436407683734	0.3828006088280061
Not In PFAM	WN_ef	2215.0	0.3564670496662118	0.1946421679489138	0.05242334322453017	0.20191231163215673	0.3055885850178359	0.48332765368609104	0.949238578680203
