EditFreq	WN_ef	WN_log	WNN_ef	WNN_log	Cum_WN_ef	Cum_WNN_ef
0	17815	4.250785826687034	39091	4.592076780407354	0.43430034129692835	0.9529741589468552
1	6290	3.798650645445269	704	2.847572659142112	0.5876401755241346	0.9701365187713311
2	3449	3.5376931943673906	325	2.5118833609788744	0.6717211116528523	0.9780594831789371
3	2228	3.3479151865016914	191	2.2810333672477277	0.7260360799609946	0.9827157484154071
4	1566	3.1947917577219247	121	2.0827853703164503	0.764212579229644	0.985665529010239
5	1220	3.0863598306747484	103	2.012837224705172	0.793954168698196	0.9881764992686495
6	970	2.9867717342662448	76	1.8808135922807914	0.8176011701608972	0.990029254022428
7	749	2.8744818176994666	67	1.8260748027008264	0.8358605558264262	0.9916626036079961
8	617	2.7902851640332416	45	1.6532125137753437	0.850901999024866	0.9927596294490493
9	519	2.7151673578484576	30	1.4771212547196624	0.8635543637250122	0.9934909800097513
10	486	2.6866362692622934	37	1.568201724066995	0.8754022428083862	0.9943929790346172
11	435	2.6384892569546374	31	1.4913616938342726	0.8860068259385665	0.9951487079473428
12	366	2.5634810853944106	24	1.380211241711606	0.8949293027791322	0.9957337883959044
13	301	2.4785664955938436	24	1.380211241711606	0.9022671867381765	0.9963188688444661
14	324	2.510545010206612	24	1.380211241711606	0.9101657727937591	0.9969039492930278
15	258	2.41161970596323	26	1.414973347970818	0.9164553876157971	0.9975377864456363
16	232	2.3654879848909	19	1.2787536009528289	0.9221111652852267	0.9980009751340809
17	198	2.296665190261531	17	1.2304489213782739	0.9269380789858606	0.9984154071184788
18	225	2.3521825181113627	8	0.9030899869919435	0.9324232081911262	0.998610433934666
19	170	2.230448921378274	12	1.0791812460476249	0.9365675280351048	0.9989029741589469
20	176	2.24551266781415	26	1.414973347970818	0.9408581179912238	0.9995368113115554
21	155	2.1903316981702914	16	1.2041199826559248	0.9446367625548513	0.9999268649439298
22	166	2.220108088040055	18	1.255272505103306	0.9486835689907362	1.0003656752803511
23	136	2.1335389083702174	11	1.0413926851582251	0.951999024865919	1.0006338371526085
24	117	2.0681858617461617	6	0.7781512503836436	0.9548512920526573	1.0007801072647489
25	127	2.103803720955957	14	1.146128035678238	0.9579473427596294	1.0011214041930765
26	110	2.041392685158225	3	0.47712125471966244	0.9606289614822038	1.0011945392491468
27	111	2.0453229787866576	2	0.3010299956639812	0.9633349585568015	1.0012432959531936
28	107	2.0293837776852097	10	1.0	0.9659434422233057	1.0014870794734276
29	95	1.9777236052888478	5	0.6989700043360189	0.968259385665529	1.0016089712335445
30	64	1.806179973983887	6	0.7781512503836436	0.9698196001950268	1.001755241345685
31	74	1.8692317197309762	5	0.6989700043360189	0.9716235982447586	1.001877133105802
32	66	1.8195439355418688	4	0.6020599913279624	0.9732325694783033	1.0019746465138957
33	62	1.792391689498254	9	0.9542425094393249	0.9747440273037543	1.0021940516821062
34	55	1.7403626894942439	2	0.3010299956639812	0.9760848366650414	1.0022428083861532
35	54	1.7323937598229686	4	0.6020599913279624	0.9774012676743052	1.0023403217942468
36	56	1.7481880270062005	3	0.47712125471966244	0.9787664553876158	1.002413456850317
37	70	1.845098040014257	8	0.9030899869919435	0.980472940029254	1.0026084836665041
38	48	1.6812412373755872	4	0.6020599913279624	0.9816431009263774	1.0027059970745977
39	47	1.6720978579357175	5	0.6989700043360189	0.9827888834714773	1.0028278888347149
40	49	1.6901960800285136	3	0.47712125471966244	0.9839834227206241	1.002901023890785
41	51	1.7075701760979363	3	0.47712125471966244	0.9852267186738176	1.0029741589468553
42	47	1.6720978579357175	5	0.6989700043360189	0.9863725012189176	1.0030960507069722
43	41	1.6127838567197355	3	0.47712125471966244	0.9873720136518771	1.0031691857630425
44	33	1.5185139398778875	7	0.8450980400142568	0.9881764992686495	1.0033398342272062
46	39	1.591064607026499	1	0.0	0.9891272549975622	1.0033642125792297
47	34	1.5314789170422551	7	0.8450980400142568	0.9899561189663578	1.0035348610433934
48	29	1.462397997898956	4	0.6020599913279624	0.9906630911750366	1.003632374451487
49	26	1.414973347970818	1	0.0	0.991296928327645	1.0036567528035105
