Effect	count	mean	std	min	25%	50%	75%	max
3'	17525.0	0.13910880925828742	0.19118153890280187	0.010009099181073705	0.025278293135435996	0.06048387096774194	0.16062176165803108	1.0
5'	1047.0	0.11130253224144006	0.15820008975943944	0.010101010101010102	0.020608757204975226	0.05022573363431152	0.12340758579169177	1.0
Intron	9874.0	0.1723090153383343	0.20926118167049387	0.01001669449081803	0.03571428571428571	0.08761005342764693	0.2172028630160735	1.0
Rec	5535.0	0.07906970720777289	0.13390157042951087	0.010014306151645207	0.016466072415342425	0.03053435114503817	0.07413951053527025	1.0
SJ	84.0	0.13870318640501458	0.21075879506845646	0.010101010101010102	0.029785190181290493	0.06030228444917193	0.156625150060024	1.0
Syn	1792.0	0.07387267428309907	0.11636047426711627	0.010021097046413505	0.016666666666666666	0.030142341170136394	0.07142857142857142	1.0
