	WN_ef	WNN_ef	WN_dp	WNN_dp
count	35857.0	35857.0	35857.0	35857.0
mean	0.25445309112989384	0.13491024291846349	619.9062665588309	618.0769724182168
std	0.24149500749783656	0.18781688541813235	1176.0107830200336	1228.6701339760045
min	0.010005065856129687	0.010009099181073705	10.0	10.0
25%	0.06451612903225806	0.023809523809523808	74.0	79.0
50%	0.16363636363636366	0.057777777777777775	191.0	208.0
75%	0.3843283582089552	0.15625	581.0	581.0
max	1.0	1.0	8618.0	13667.0
