Geneid	GFL	Sub	SG	OLl	OLe	BuL	Sup	VL	BrL	ANC	Ret	BM	DCI	Hep	MDC	Tes	MVI	Man	Hea	MVC	Gil	Kid	Ten	Suc	MDI
Dopeav2082800m_FARSB	1.5595636052120916	2.090806459898151	2.0192752341338416	1.918881727144084	1.3814256207954385	1.4487683166364558	2.0217230077246264	1.9717464230601651	2.033684340222123	1.8014511071774637	1.4027807322605688	0.9044879961804769	1.0753127939703	1.645042619870586	1.3819495522284155	1.1087718317539725	1.3577719927311986	0.7728355721653349	1.5032197005795713	1.651893889236917	1.1709645934363497	1.3766555315974327	1.2999620717774045	1.6951534780323527	1.473025425325514
Dopeav2055409m_ZNF570	0.8684613825101467	0.7303447192184673	0.6592425294205861	1.0944993897743616	1.3554584482964351	1.0186851261178693	0.9949353275957374	1.1514421318913757	0.9546383837662847	0.5083216927292008	0.8807742002639689	0.5120286455689965	0.3635336297307036	0.2904989200357138	0.545159500017805	0.8822509931474478	0.3792125063547783	0.4383857008834469	0.5634986865390721	0.41619207268595554	0.7460568901969765	0.5414818859031986	0.6200886187662803	0.673932247730655	0.38576528976969193
Dopeav2041541m_RBPMS	0.4249647393306784	0.6310428562851034	0.21876464638283125	1.451041869758065	1.1271081560580618	0.5499235216506351	0.6841415659805011	1.141681292672891	0.5453568835254301	0.5238844492269694	2.038550329848955	0.22596498111861738	0.09926657429785214	0.005686047664443451	0.43050442163506625	0.19556913866515807	0.3682164235599401	0.4487886843455225	0.11159471604494048	0.2701394809262217	0.3391866442586844	0.1228152904612934	0.5568448404733796	0.593301995550121	0.06917578931150153
Dopeav2044320m_ELAVL4	2.719579031865765	2.2671756107697076	2.171398850286689	2.30041637043412	2.3918977926387455	2.3667805611834285	2.127160168810508	2.0168296818629265	2.226901691708046	1.666619091715341	0.20804718806765501	1.0226826815980967	0.6053099363552893	0.37082866603436776	0.9078894142821792	2.11139548684538	0.808433714768972	0.28630181471535116	0.7680710102124465	0.24754437523897901	0.9042517733721925	0.8196349710974266	1.2196903576493183	1.363218555080985	0.8037080213075349
Dopeav2032549m_CELF2	1.1000104815770475	1.682226609531629	1.5137807795041556	1.957489868521176	1.7495551616866145	1.7140979007191497	1.8794705499262305	2.135833298970717	1.8474626990850838	1.6227792900057065	1.8683388971558383	1.321436498661171	1.0462055979543428	0.9558649228397963	1.0493103855609283	1.7694805901742967	1.3323984674346911	1.282876701811429	1.2768537893552352	0.9843241404017476	1.377831880356303	1.3063393352293877	1.017608610846345	1.3492594982972699	1.2925737998180928
Dopeav2049022m_	0.0	0.0	0.05706898440173257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dopeav2049954m_	0.4253255863018999	0.13771091100295593	0.17194196619968244	0.271511169871218	0.17105899863816112	0.2020705900292037	0.19665316586774056	0.20161548519616634	0.22674601722134527	0.09429685032995284	0.04222283802252311	0.18607212867133446	0.0	0.0	0.0	0.15181543197749978	0.0	0.0	0.07565636239763168	0.0	0.07829030630800296	0.03283773511805038	0.0	0.06800362438871839	0.0
Dopeav2131491m_	0.0	0.0	0.0	0.0	0.0	0.0	0.05372439528260714	0.0	0.04633527088856958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dopeav2115641m_CLASRP	1.1256696389551406	1.5144263216102265	1.2514157284754046	1.8739627260511618	1.5764275424860092	1.339757479713517	1.7292842668276631	1.8104477782902657	1.6450104262156893	1.3059583437155546	1.4596580060970972	0.9367415952436113	1.0301565219208006	0.9730287191884621	1.13792410835136	1.279389632940506	1.207300447241839	0.9676243113186925	1.2539082700526127	1.3140692211602074	1.0481312314943232	1.2805611843914326	0.9424728374785805	1.1375982759611738	1.203382408331981
Dopeav2056851m_PRKRA	1.7012503717809206	1.9432296888120293	1.753657556127857	1.9623980136895975	1.7879015260880273	1.6878439069548383	1.9132863513569365	1.9077732616736371	1.8064148368231878	1.4100999080370915	1.632308616388918	0.8052869308898417	1.076699054641734	0.9414476810549565	1.1512461468685466	1.6640959396269421	1.3232299222361477	0.9268839191537472	1.2429540190560413	1.2968261068240605	1.114513015396297	1.1179463964566407	0.9691524583333632	1.1787698883665645	1.4677809762755087
Dopeav2064412m_SKIV2L	1.9390157844677403	2.082196338941147	2.058143303218049	1.7932258506211047	1.6266860458385535	1.8520481353408005	1.982972107090017	1.9444533531447759	2.105478352665568	1.430134596214029	1.2704152079332804	1.0264478245839834	0.9310163408025385	1.0526221314965054	1.1976246400785617	1.331360621622967	1.2942997522581106	1.1438177752987857	1.4064109221429304	1.3256547504600864	1.12960128689793	1.1239264007580683	1.1237089280795054	1.196138447756509	1.2629422000582857
Dopeav2079706m_VARS	1.8212178059380324	2.202104103040088	2.117621005080199	2.0696783576830406	1.6698907391955344	1.650390268808106	2.147828835111492	2.163653453453473	2.2110817498479607	1.5633957630892716	1.821411376415781	1.0613029612765303	1.1394958501054768	1.7934716759695941	1.4719600724773283	1.0213193656507984	1.5250395956658225	1.0089423134095805	1.6248595057040354	1.759503873373936	1.4727141390118386	1.4999152661819457	1.369929020071543	1.4367593868254174	1.5647835334880071
